100000,1604828600,3248705000
200000,3169240600,5828635000
300000,4474449900,8074544000
400000,6330366600,12174362000
500000,7642509400,15031785000
600000,8695151800,17828909000
700000,10963377900,21854464000
800000,12640488700,26462399000
900000,13761794900,29139974000
1000000,15180025400,32625284000
